+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
| 4     | 0   | 4     | 0     | 0   | 0   | GET    | /images/top-bg.png                  | 0.001 | 0.002 | 0.003   | 0.001 | 0.002 | 0.002 | 0.002 | 0.001  | 549793.000 | 549793.000 | 2199172.000  | 549793.000 |
| 1222  | 0   | 165   | 1057  | 0   | 0   | GET    | /images/town.svg                    | 0.000 | 0.001 | 0.002   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 128735.000 | 21241275.000 | 17382.385  |
| 1222  | 0   | 165   | 1057  | 0   | 0   | GET    | /images/buildings3.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23793.000  | 3925845.000  | 3212.639   |
| 4     | 0   | 4     | 0     | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000   | 1020.000   | 4080.000     | 1020.000   |
| 1222  | 0   | 165   | 1057  | 0   | 0   | GET    | /images/buildings4.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 4582.000   | 756030.000   | 618.682    |
| 1392  | 0   | 170   | 1222  | 0   | 0   | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 336.000    | 57120.000    | 41.034     |
| 4     | 0   | 4     | 0     | 0   | 0   | GET    | /index.html                         | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000    | 704.000    | 2816.000     | 704.000    |
| 174   | 0   | 9     | 165   | 0   | 0   | GET    | /owner                              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 6336.000     | 36.414     |
| 1222  | 0   | 165   | 1057  | 0   | 0   | GET    | /images/buildings6.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9454.000   | 1559910.000  | 1276.522   |
| 4     | 0   | 4     | 0     | 0   | 0   | GET    | /images/top-logo.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 4749.000   | 4749.000   | 18996.000    | 4749.000   |
| 1392  | 0   | 170   | 1222  | 0   | 0   | GET    | /favicon.ico                        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 16958.000  | 2882860.000  | 2071.020   |
| 1222  | 0   | 165   | 1057  | 0   | 0   | GET    | /images/buildings1.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 13886.000  | 2291190.000  | 1874.951   |
| 1     | 0   | 0     | 0     | 1   | 0   | -      | -                                   | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 0.000      | 0.000        | 0.000      |
| 1222  | 0   | 165   | 1057  | 0   | 0   | GET    | /images/buildings2.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23825.000  | 3931125.000  | 3216.960   |
| 1222  | 0   | 165   | 1057  | 0   | 0   | GET    | /images/house1.svg                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2903.000   | 478995.000   | 391.976    |
| 1222  | 0   | 165   | 1057  | 0   | 0   | GET    | /images/buildings5.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9858.000   | 1626570.000  | 1331.072   |
| 1222  | 0   | 165   | 1057  | 0   | 0   | GET    | /images/house2.svg                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 6430.000   | 1060950.000  | 868.208    |
| 4     | 0   | 4     | 0     | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000    | 783.000    | 3132.000     | 783.000    |
| 1222  | 0   | 165   | 1057  | 0   | 0   | GET    | /client                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 116160.000   | 95.057     |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
