+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /images/house1.svg                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2903.000   | 330942.000   | 549.738    |
| 772   | 0   | 119   | 653   | 0   | 0   | GET    | /favicon.ico                        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 16958.000  | 2018002.000  | 2613.992   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /index.html                         | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000    | 704.000    | 704.000      | 704.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000   | 1020.000   | 1020.000     | 1020.000   |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /images/buildings5.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9858.000   | 1123812.000  | 1866.797   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /images/top-logo.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 4749.000   | 4749.000   | 4749.000     | 4749.000   |
| 772   | 0   | 119   | 653   | 0   | 0   | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 336.000    | 39984.000    | 51.793     |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /images/buildings3.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23793.000  | 2712402.000  | 4505.651   |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /images/buildings6.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9454.000   | 1077756.000  | 1790.292   |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /images/buildings4.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 4582.000   | 522348.000   | 867.688    |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /images/house2.svg                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 6430.000   | 733020.000   | 1217.641   |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /images/buildings1.svg              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 13886.000  | 1583004.000  | 2629.575   |
| 602   | 0   | 114   | 488   | 0   | 0   | GET    | /client                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 80256.000    | 133.316    |
+-------+-----+-------+-------+-----+-----+--------+-------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
