+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
| 42    | 0   | 14   | 28   | 0   | 0   | GET    | /images/buildings6.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9454.000   | 132356.000  | 3151.333   |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /index.html                         | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 704.000    | 704.000    | 704.000     | 704.000    |
| 42    | 0   | 14   | 28   | 0   | 0   | GET    | /images/buildings5.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9858.000   | 138012.000  | 3286.000   |
| 42    | 0   | 14   | 28   | 0   | 0   | GET    | /images/buildings1.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 13886.000  | 194404.000  | 4628.667   |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /images/top-bg.png                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 549793.000 | 549793.000 | 549793.000  | 549793.000 |
| 42    | 0   | 14   | 28   | 0   | 0   | GET    | /images/buildings3.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23793.000  | 333102.000  | 7931.000   |
| 125   | 0   | 19   | 106  | 0   | 0   | GET    | /favicon.ico                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 16958.000  | 322202.000  | 2577.616   |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /images/top-logo.svg                | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 4749.000   | 4749.000   | 4749.000    | 4749.000   |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000    | 783.000    | 783.000     | 783.000    |
| 42    | 0   | 14   | 28   | 0   | 0   | GET    | /images/house1.svg                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2903.000   | 40642.000   | 967.667    |
| 125   | 0   | 19   | 106  | 0   | 0   | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 336.000    | 6384.000    | 51.072     |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000   | 1020.000   | 1020.000    | 1020.000   |
| 42    | 0   | 14   | 28   | 0   | 0   | GET    | /images/house2.svg                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 6430.000   | 90020.000   | 2143.333   |
| 42    | 0   | 14   | 28   | 0   | 0   | GET    | /client                             | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 9856.000    | 234.667    |
+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
