+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                 |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
| 53    | 0   | 15   | 38   | 0   | 0   | GET    | /images/buildings4.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 4582.000   | 68730.000   | 1296.792   |
| 53    | 0   | 15   | 38   | 0   | 0   | GET    | /images/buildings6.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9454.000   | 141810.000  | 2675.660   |
| 134   | 0   | 20   | 114  | 0   | 0   | GET    | /favicon-32x32.png                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 336.000    | 6720.000    | 50.149     |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /apple-touch-icon-180x180.png       | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000   | 1020.000   | 1020.000    | 1020.000   |
| 53    | 0   | 15   | 38   | 0   | 0   | GET    | /images/house2.svg                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 6430.000   | 96450.000   | 1819.811   |
| 53    | 0   | 15   | 38   | 0   | 0   | GET    | /images/town.svg                    | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 128735.000 | 1931025.000 | 36434.434  |
| 53    | 0   | 15   | 38   | 0   | 0   | GET    | /images/buildings5.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9858.000   | 147870.000  | 2790.000   |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /favicon-128x128.png                | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000    | 783.000    | 783.000     | 783.000    |
| 53    | 0   | 15   | 38   | 0   | 0   | GET    | /images/house1.svg                  | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2903.000   | 43545.000   | 821.604    |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /images/top-logo.svg                | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 4749.000   | 4749.000   | 4749.000    | 4749.000   |
| 53    | 0   | 15   | 38   | 0   | 0   | GET    | /images/buildings2.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23825.000  | 357375.000  | 6742.925   |
| 53    | 0   | 15   | 38   | 0   | 0   | GET    | /images/buildings1.svg              | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 13886.000  | 208290.000  | 3930.000   |
| 53    | 0   | 15   | 38   | 0   | 0   | GET    | /client                             | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 10560.000   | 199.245    |
+-------+-----+------+------+-----+-----+--------+-------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
